"ID_s","SINP","EDU_MAD","EDU_SUP","EDU_PRI","HOG_HAC","HOG_INET","HOG_BIBLIO","VIANDA","MIG_SUD","C1_REP","C2_REP","C1_SOB","C2_SOB","C1_NOPRO","C2_NOPRO","CONP","REPE_PRIM","CAMBIO","RIESGO","INTAR","MAT_MEDIA","EDU_MAD_SD","L_SW","H2","I_S","M","MIG_EUR","ATENCION","LQ_PRI","LQ_SUP","COOP","SUBS","C1_PROEX","C2_PROEX","SUP","EFIC","PEND","MAT_DESVIO","STATUS","ACCESIBILIDAD","TIPO_HABITAT","HAC_ESC","n","RECURSO","TIT","ASI","NODOC","IDIOMA_MULTI","DOC","NOPOF","VAR","CONTINUIDAD_PRE","SECTOR","T_DOBLE","T_MAÑANA","T_TARDE","T_VESPER","T_NOCHE","TIT_BACHILLER","TIT_BILINGÜE","TIT_COMERCIAL","TIT_TECNICO","N_PRI","N_SEC","N_SUP"
"ID9137",0,8.46898682335534,0.6875,0.125,1.50892857142857,0.924528301886792,0.0754716981132075,0,0.0139372822299652,0.015625,0.00628930817610063,0.015625,0.00628930817610063,0.12781954887218,0.0935672514619883,0.0146137787056367,0,0.0566037735849057,0.0754716981132075,0.00631578947368421,5.3196708,2.71776540041296,0.8278,0.7535,0.4734,0.152456347251353,0.0174216027874564,0.169811320754717,"Bajo","Medio","NO","SI",0.556390977443609,0.555555555555556,0.123809523809524,1.47945205479452,-0.0160278745644599,0.72824713,9.72409461207815,31,"Residencial alto",28.7,287,9.8713831215911,1,2.09059233449477,0,0,150.174216027875,0,0.292682926829268,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,7,10,38
"ID9156",0.0671573137074517,4.47281021760891,0.123595505617978,0.415730337078652,1.64996706996707,0.818181818181818,0.0404040404040404,0.508259212198221,0.199491740787802,0.240291262135922,0.114666666666667,0.514563106796116,0.584,0.364102564102564,0.267741935483871,0.0183992640294388,0.0909090909090909,0.323232323232323,0.151515151515152,0.0158415841584158,4.98972266,2.96012563101037,0.9788,0.8909,0.5989,0.211973319693634,0,0.202020202020202,"Alto","Bajo","s/PJ","Estatal",0.276923076923077,0.558064516129032,0.166959578207381,0.351851851851852,-0.0365946632782719,0.87834734,10.3491823275817,21.2222222222222,"Residencial medio",20.1794871794872,787,9.46933395942972,0.279437609841828,6.22617534942821,1.143583227446,0,138.310038119441,0,0.864040660736976,FALSE,"Estatal",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,58,64,17
"ID9171",0.0675039246467818,3.86153031227947,0.0606060606060606,0.454545454545455,1.76724386724387,0.904109589041096,0.0273972602739726,0.251004016064257,0.162650602409639,0.256505576208178,0.139737991266376,0.438661710037175,0.637554585152838,0.358565737051793,0.229559748427673,0.0470957613814757,0.10958904109589,0.36986301369863,0.301369863013699,0.00878734622144113,4.92848239,2.43537633796391,0.8871,0.8075,0.5578,0.326222038397114,0.00200803212851406,0.26027397260274,"Alto","Bajo","s/PJ","Estatal",0.239043824701195,0.418238993710692,0.0780445969125214,0.5625,-0.0469879518072289,0.92909867,3.85422399656217,49.2222222222222,"Residencial alto",19.1538461538462,498,9.46892264674953,0.421097770154374,7.2289156626506,1.60642570281124,0,240.060240963855,0,0.746987951807229,FALSE,"Estatal",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,42,45,6
"ID9173",0,8.7627303954921,0.666666666666667,0,1.20846986346986,0.962264150943396,0.169811320754717,0,0.010989010989011,0.0434782608695652,0.0632911392405063,0.0956521739130435,0.0759493670886076,0.0258620689655172,0.0143884892086331,0,0,0.150943396226415,0.0188679245283019,0.00253807106598985,5.45538643,1.99795407027902,0.6404,0.9238,0.4481,0.317550996870587,0,0.113207547169811,"Bajo","Alto","NO","SI",0.456896551724138,0.539568345323741,0,1.08771929824561,-0.00586080586080586,0.73686346,4.43927181433436,38.8888888888889,"Residencial alto",27.3,273,9.30810916878773,1,1.83150183150183,0.366300366300366,0,217.582417582418,0,0.358974358974359,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,20,39
"ID9175",0.00903614457831325,7.80246317860173,0.51219512195122,0.0731707317073171,1.41744186046512,1,0.0444444444444444,0,0.0123839009287926,0.0444444444444444,0.0319148936170213,0.111111111111111,0.111702127659574,0.0645161290322581,0.184466019417476,0.0180722891566265,0,0.222222222222222,0.177777777777778,0.0212121212121212,5.26576529,2.71238558816186,0.9036,0.8225,0.5625,0.110025183251517,0,0.111111111111111,"Medio","Medio","NO","SI",0.556451612903226,0.441747572815534,0.0358974358974359,0.571428571428571,-0.000928792569659428,1.02658311,5.75561649922066,42,"Residencial alto",32.3,323,9.85933661154388,1,1.70278637770898,0,0,115.015479876161,0,0.315789473684211,TRUE,"Privado",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,22,27
"ID9184",0.00156739811912226,8.02202902319552,0.606060606060606,0.106060606060606,1.31678406339423,0.930555555555556,0.152777777777778,0,0.016548463356974,0.031413612565445,0.0301724137931034,0.0732984293193717,0.107758620689655,0.0838323353293413,0.114406779661017,0.00313479623824451,0.0416666666666667,0.0277777777777778,0.0972222222222222,0.00625978090766823,5.2716081,2.9447987843529,0.905,0.8238,0.5417,0.0930220486813342,0.00236406619385343,0.111111111111111,"Medio","Medio","NO","SI",0.215568862275449,0.266949152542373,0.0648648648648649,1.46153846153846,-0.0174940898345154,1.00937814,8.21239629626458,36.4444444444444,"Residencial medio",28.2,423,9.88594569751902,1,3.19148936170213,4.49172576832151,0,167.966903073286,21.6312056737589,0.40661938534279,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,24,50
"ID9240",0,8.55808858555162,0.695652173913043,0.0434782608695652,1.80627705627706,0.826086956521739,0.347826086956522,0,0.0152671755725191,0,0,0,0,0,0,0,0,0,0.130434782608696,0,5.50940755,2.50510448887166,0.7233,0.6583,0.434,0.232552652967501,0,0,"Bajo","Alto","NO","NO",0.389830508474576,0.115942028985507,0.0209424083769634,0.514285714285714,-0.00229007633587785,1.42560849,3.44075017504391,40.1111111111111,"Residencial alto",13.1,131,9.58075228629243,1,3.81679389312977,3.81679389312977,0,289.312977099237,0,0.442748091603053,TRUE,"Privado",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,6,17
"ID9262",0,8.56057085931648,0.695652173913043,0.0434782608695652,1.03892339544513,1,0.130434782608696,0,0,0.0476190476190476,0.128205128205128,0.0476190476190476,0.128205128205128,0,0.0405405405405405,0,0,0.260869565217391,0.217391304347826,0,5.28442751,2.49839074870065,0.7332,0.6674,0.4467,0.225903833836901,0,0.0434782608695652,"Bajo","Alto","NO","NO",0.0652173913043478,0.162162162162162,0.0794979079497908,0.75,0.0133333333333333,0.51859875,5.45495313458546,45.8888888888889,"Residencial medio",20,120,9.85933661154388,1,5,2.5,0,176.666666666667,0,0.316666666666667,TRUE,"Privado",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,7,18
"ID9274",0.0171149144254279,4.62592991826819,0.162162162162162,0.432432432432432,1.60918154761905,0.848837209302326,0.0697674418604651,0.468451242829828,0.162523900573614,0.371559633027523,0.167213114754098,0.674311926605505,0.668852459016393,0.330508474576271,0.280141843971631,0.0452322738386308,0.174418604651163,0.732558139534884,0.476744186046512,0.04125,4.32420037,3.18761804692252,1.0251,0.9331,0.6232,0.158472636279399,0,0.209302325581395,"Alto","Bajo","c/PJ","Estatal",0.423728813559322,0.308510638297872,0.0287241148964596,0.73394495412844,-0.00917782026768643,0.98108662,12.3323511861595,22.1111111111111,"Residencial medio",18.0344827586207,523,9.29379521944904,0.356045424181697,6.30975143403442,1.52963671128107,0,184.990439770555,0,0.432122370936902,FALSE,"Estatal",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,50,47,19
"ID9286",0,7.25804848896317,0.461538461538462,0.0769230769230769,1.36374458874459,0.962962962962963,0.0740740740740741,0,0.0434782608695652,0.0350877192982456,0,0,0.037037037037037,0.0350877192982456,0.0138888888888889,0,0,0.148148148148148,0.111111111111111,0,5.41308603,3.05229158888432,0.8919,0.8118,0.56,0.13039980272677,0,0.0740740740740741,"Medio","Alto","NO","SI",0.508771929824561,0.590277777777778,0.199074074074074,2.72,-0.013768115942029,0.59192643,16.0751451588829,44.4444444444444,"Residencial medio",27.6,138,9.72539805220216,0.800925925925926,2.89855072463768,0.72463768115942,0,165.942028985507,9.42028985507246,0.318840579710145,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,14,14
"ID9311",0,9.49975280098534,0.861111111111111,0.0277777777777778,1.22400793650794,1,0.108108108108108,0,0.00578034682080925,0,0,0.0112359550561798,0.0119047619047619,0,0.0543478260869565,0,0,0.108108108108108,0.0540540540540541,0,5.89711441,1.50029161028358,0.4471,0.407,0.2288,0.463946674541486,0.0115606936416185,0.243243243243243,"Bajo","Alto","NO","NO",0.317647058823529,0.402173913043478,0.0244897959183673,0.847826086956522,-0.0369942196531792,0.93893641,6.08831533681205,29.6666666666667,"Residencial alto",34.6,173,9.94201728654262,1,2.3121387283237,1.15606936416185,0,190.751445086705,14.7398843930636,0.416184971098266,TRUE,"Privado",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,4,34
"ID9332",0,4.80244359382527,0.219512195121951,0.341463414634146,1.52582417582418,0.833333333333333,0.0238095238095238,0.670553935860058,0.221574344023324,0.28921568627451,0.122302158273381,0.524509803921569,0.676258992805755,0.441025641025641,0.224806201550388,0.0262582056892779,0.119047619047619,0.357142857142857,0.119047619047619,0.0176600441501104,4.63270066,3.12780578020505,1.0611,0.9659,0.6423,0.086739759374591,0,0.166666666666667,"Alto","Bajo","s/PJ","Estatal",0.446153846153846,0.666666666666667,0.130177514792899,0.348623853211009,-0.0632653061224489,0.91762137,22.6203533530148,13.3333333333333,"Ciudad Central",18.0526315789474,343,8.93639782343063,0.454635108481262,8.30903790087464,3.2069970845481,0,308.163265306122,16.3265306122449,0.979591836734694,FALSE,"Estatal",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,20,26,13
"ID9357",0.0467032967032967,5.62134206203092,0.289855072463768,0.289855072463768,1.73127755731922,0.784090909090909,0.136363636363636,0.35706340378198,0.0967741935483871,0.343949044585987,0.165811965811966,0.64968152866242,0.699145299145299,0.32258064516129,0.297513321492007,0.0364010989010989,0.0909090909090909,0.431818181818182,0.386363636363636,0.0703342618384401,4.66627426,3.3017391543621,1.0814,0.9843,0.6548,0.0375253933441861,0.00444938820912125,0.227272727272727,"Alto","Bajo","c/PJ","Estatal",0.258064516129032,0.376554174067496,0.183368869936034,1.81208053691275,0.0135706340378198,1.06023843,11.4982316403514,33.6666666666667,"Residencial medio",16.0535714285714,899,9.98085902710501,0.420042643923241,5.11679644048943,2.89210233592881,0,45.9399332591769,0,0.400444938820912,FALSE,"Estatal",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,54,79,54
"ID9369",0.00132100396301189,4.64533193289704,0.134328358208955,0.388059701492537,1.66944444444444,0.8875,0.075,0.231660231660232,0.108108108108108,0.0642857142857143,0.0420168067226891,0.217857142857143,0.205882352941176,0.192170818505338,0.0729613733905579,0.0224570673712021,0.05,0.0625,0.0875,0.0107095046854083,5.47176988,3.00591083074748,0.9935,0.9043,0.605,0.185966726834222,0.00193050193050193,0.175,"Alto","Bajo","c/PJ","Estatal",0.423487544483986,0.489270386266094,0.172804532577904,0.5,-0.0469111969111969,1.13816102,13.426519096885,39.4444444444444,"Residencial medio",28.7777777777778,518,9.838066505141,0.223796033994334,4.44015444015444,3.47490347490348,0,54.4401544401544,0,0.845559845559846,TRUE,"Estatal",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,42,52,15
"ID9392",0,8.90613518528685,0.7,0,1.27291666666667,1,0.1,0,0.0170940170940171,0.02,0.0895522388059701,0.02,0.0895522388059701,0.0384615384615385,0.0882352941176471,0.0105263157894737,0,0.05,0.1,0,5.42148586,1.92981189005297,0.6255,0.9024,0.4339,0.327201990517,0,0.1,"Bajo","Alto","NO","SI",0.5,0.426470588235294,0.0555555555555556,1.5,-0.0102564102564102,0.84990909,6.94427296134188,50.6666666666667,"Residencial alto",23.4,117,9.72577329535518,1,4.27350427350427,0,0.615384615384615,178.205128205128,0,0.376068376068376,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,7,15
"ID9432",0,9.70221893495459,0.882352941176471,0,1.19824561403509,1,0.15,0,0,0,0,0.282608695652174,0.292307692307692,0,0,0,0,0.1,0,0,6.44274141,0.840605408477869,0.3145,0.4537,0.1723,0.582294007604038,0,0.1,"Bajo","Alto","NO","NO",0.186046511627907,0.238805970149254,0.00434782608695652,2.5,-0.00450450450450451,0.89464758,4.57086407997562,17.6666666666667,"Residencial alto",22.2,111,9.70681198749288,1,1.8018018018018,99.0990990990991,0,203.153153153153,0,0.396396396396396,TRUE,"Privado",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,2,19
"ID9468",0,6.40656819286377,0.296296296296296,0.222222222222222,1.46701535643843,0.946428571428571,0.0892857142857143,0,0.0677966101694915,0.0075187969924812,0,0.0601503759398496,0.104938271604938,0.0143884892086331,0.0949367088607595,0.0108695652173913,0.0714285714285714,0.0178571428571429,0.196428571428571,0,5.05805319,3.06901811642964,1.0463,0.9524,0.6306,0.0574395101734074,0,0.142857142857143,"Alto","Medio","NO","SI",0.165467625899281,0.19620253164557,0.0924574209245742,1.06666666666667,-0.0172881355932203,0.63525683,7.40364101448464,40.2222222222222,"Residencial alto",29.5,295,9.36328254409555,1,2.03389830508475,0.338983050847458,0,139.830508474576,0.338983050847458,0.4,FALSE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,14,30,18
"ID9502",0.00443458980044346,8.53461692505482,0.673913043478261,0.0652173913043478,1.34791059280855,1,0.0408163265306122,0,0.0228136882129278,0,0.0065359477124183,0.0272727272727273,0.0849673202614379,0.0341880341880342,0.151515151515152,0.00443458980044346,0,0.122448979591837,0.122448979591837,0,5.82856299,2.4814459158665,0.8081,0.7355,0.4814,0.164870528058498,0.00380228136882129,0.142857142857143,"Bajo","Medio","NO","SI",0.341880341880342,0.309090909090909,0.0754716981132075,1.64285714285714,-0.00532319391634982,0.87921156,11.1987777506988,36.1111111111111,"Residencial medio",23.9090909090909,263,9.79737152063289,1,3.99239543726236,1.52091254752852,0,231.178707224335,36.3117870722433,0.380228136882129,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4,15,38
"ID9507",0,9.23379994874723,0.821052631578947,0.0210526315789474,1.28853310123151,0.972361809045226,0.201005025125628,0,0.00360750360750361,0,0,0.00605536332179931,0.0136138613861386,0,0.0344827586206897,0.0190431955411054,0,0.042713567839196,0.0753768844221105,0.0146955913226032,6.42208844,1.89097725841577,0.5366,0.4884,0.3014,0.386412558328151,0.00396825396825397,0.100502512562814,"Bajo","Alto","NO","SI",0.36017316017316,0.462324393358876,0,1.52122241086587,-0.0044011544011544,1.03840482,9.7339858256611,25,"Residencial medio",30.1304347826087,2772,9.97249894793338,1,1.1002886002886,0.432900432900433,1,138.059163059163,0,0.502886002886003,FALSE,"Privado",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,12,88,457
"ID9517",0,9.78907174559284,0.916666666666667,0,1.14038095238095,1,0.32,0,0.0087719298245614,0,0,0,0.0714285714285714,0,0,0,0,0.12,0.04,0,5.87386367,0.714616112387095,0.2573,0.3712,0.1327,0.633496902759789,0,0.12,"Bajo","Alto","NO","NO",0.365384615384615,0.433333333333333,0.321951219512195,0.692307692307692,-0.00175438596491227,1.06299226,4.12351252125251,41.2222222222222,"Residencial alto",22.8,114,9.6066985503326,1,0,0,0.385964912280702,179.824561403509,0,0.228070175438596,TRUE,"Privado",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,2,26
"ID9522",0.00476190476190476,5.44601913103463,0.310344827586207,0.362068965517241,1.48734335839599,0.833333333333333,0.0333333333333333,0,0.0702341137123746,0.0816326530612245,0.0657894736842105,0.156462585034014,0.263157894736842,0.411290322580645,0.282758620689655,0.0119047619047619,0.0333333333333333,0.216666666666667,0.2,0.00241545893719807,4.98941857,3.45744715214815,1.0959,0.9975,0.6648,0.0370316009022982,0,0.3,"Alto","Bajo","NO","SI",0.306451612903226,0.331034482758621,0.025531914893617,0.695652173913043,-0.0324414715719063,0.77150011,22.3548083194933,39.4444444444444,"Conjunto Habitacional",29.9,299,9.66343296129117,0.876595744680851,2.67558528428094,0,0,145.819397993311,0,0.468227424749164,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,24,22,20
"ID9528",0,5.91703282375841,0.333333333333333,0.294117647058824,1.47240476190476,0.928571428571429,0.0714285714285714,0.730223123732252,0.0103806228373702,0,0.00613496932515337,0.00793650793650794,0.325153374233129,0.260162601626016,0.40625,0.0139372822299652,0.0535714285714286,0.196428571428571,0.214285714285714,0,4.62606047,3.3816426876686,1.0953,0.997,0.6644,0.0151021464502877,0,0.142857142857143,"Medio","Bajo","NO","SI",0.341463414634146,0.35,0.15695067264574,0.4,-0.0155709342560554,0.80734695,34.4983927090735,26.3333333333333,"Residencial bajo",28.9,289,9.22934398475383,1,3.80622837370242,2.7681660899654,0,150.519031141869,0,0.366782006920415,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,18,22,20
